x (Parameter) -> outputs: [<Shape: [1,3,640,640]>]
__module.model.22.cv3.2.1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450980 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450979 (Convert) -> outputs: [<Shape: [192,192,3,3]>]
Constant_450978 (Constant) -> outputs: [<Shape: [192,192,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_75/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_75/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_75/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_75/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_75/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_75 (Swish) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.0.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.0.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.22.cv3.2.0.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.0.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [192,576,3,3]>]
Constant_450976 (Constant) -> outputs: [<Shape: [192,1,1,1]>]
Convert_450975 (Convert) -> outputs: [<Shape: [192,576,3,3]>]
Constant_450974 (Constant) -> outputs: [<Shape: [192,576,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_72/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_72/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_72/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_72/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_72/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_72 (Swish) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.21.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.21.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,576,1,1]>]
__module.model.21.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.21.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [576,1152,1,1]>]
Constant_450960 (Constant) -> outputs: [<Shape: [576,1,1,1]>]
Convert_450959 (Convert) -> outputs: [<Shape: [576,1152,1,1]>]
Constant_450958 (Constant) -> outputs: [<Shape: [576,1152,1,1]>]
__module.model.21/aten::cat/Concat (Concat) -> outputs: [<Shape: [1,1152,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_71/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_71/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_71/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_71/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_71/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_71 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.1.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.1.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.21.m.1.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.1.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450956 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450955 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450954 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_70/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_70/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_70/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_70/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_70/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_70 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.1.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.1.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.21.m.1.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.1.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450952 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450951 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450950 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_69/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_69/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_69/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_69/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_69/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_69 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.0.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.0.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.21.m.0.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.0.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450948 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450947 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450946 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_68/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_68/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_68/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_68/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_68/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_68 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.0.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.0.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.21.m.0.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.21.m.0.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450944 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450943 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450942 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.21/aten::split_with_sizes/VariadicSplit (VariadicSplit) -> outputs: [<Shape: [1,288,20,20]>, <Shape: [1,288,20,20]>]
Constant_3216 (Constant) -> outputs: [<Shape: [2]>]
868 (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_67/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_67/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_67/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_67/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_67/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_67 (Swish) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.21.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.21.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,576,1,1]>]
__module.model.21.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.21.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [576,960,1,1]>]
Constant_450940 (Constant) -> outputs: [<Shape: [576,1,1,1]>]
Convert_450939 (Convert) -> outputs: [<Shape: [576,960,1,1]>]
Constant_450938 (Constant) -> outputs: [<Shape: [576,960,1,1]>]
__module.model.20/aten::cat/Concat (Concat) -> outputs: [<Shape: [1,960,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_38/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_38/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_38/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_38/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_38/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_38 (Swish) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.9.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.9.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,576,1,1]>]
__module.model.9.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.9.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [576,1152,1,1]>]
Constant_450808 (Constant) -> outputs: [<Shape: [576,1,1,1]>]
Convert_450807 (Convert) -> outputs: [<Shape: [576,1152,1,1]>]
Constant_450806 (Constant) -> outputs: [<Shape: [576,1152,1,1]>]
__module.model.9/aten::cat/Concat (Concat) -> outputs: [<Shape: [1,1152,20,20]>]
__module.model.9.m/aten::max_pool2d/MaxPool_2 (MaxPool) -> outputs: [<Shape: [1,288,20,20]>, <Shape: [1,288,20,20]>]
__module.model.9.m/aten::max_pool2d/MaxPool_1 (MaxPool) -> outputs: [<Shape: [1,288,20,20]>, <Shape: [1,288,20,20]>]
__module.model.9.m/aten::max_pool2d/MaxPool (MaxPool) -> outputs: [<Shape: [1,288,20,20]>, <Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_37/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_37/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_37/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_37/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_37/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_37 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.9.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.9.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.9.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.9.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,576,1,1]>]
Constant_450804 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450803 (Convert) -> outputs: [<Shape: [288,576,1,1]>]
Constant_450802 (Constant) -> outputs: [<Shape: [288,576,1,1]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_36/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_36/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_36/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_36/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_36/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_36 (Swish) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.8.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.8.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,576,1,1]>]
__module.model.8.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.8.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [576,1152,1,1]>]
Constant_450800 (Constant) -> outputs: [<Shape: [576,1,1,1]>]
Convert_450799 (Convert) -> outputs: [<Shape: [576,1152,1,1]>]
Constant_450798 (Constant) -> outputs: [<Shape: [576,1152,1,1]>]
__module.model.8/aten::cat/Concat (Concat) -> outputs: [<Shape: [1,1152,20,20]>]
__module.model.8.m.1/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.1/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.1/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.1/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.1/aten::add/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_35/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_35/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_35/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_35/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_35/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_35 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.8.m.1.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450796 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450795 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450794 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_34/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_34/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_34/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_34/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_34/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_34 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.8.m.1.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.1.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450792 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450791 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450790 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.8.m.0/aten::add/Add/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0/aten::add/Add/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.0/aten::add/Add/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.0/aten::add/Add/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.0/aten::add/Add/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.8.m.0/aten::add/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_33/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_33/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_33/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_33/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_33/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_33 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0.cv2.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0.cv2.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.8.m.0.cv2.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0.cv2.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450788 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450787 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450786 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_32/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_32/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_32/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_32/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_32/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_32 (Swish) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,288,1,1]>]
__module.model.8.m.0.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,288,20,20]>]
__module.model.8.m.0.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450784 (Constant) -> outputs: [<Shape: [288,1,1,1]>]
Convert_450783 (Convert) -> outputs: [<Shape: [288,288,3,3]>]
Constant_450782 (Constant) -> outputs: [<Shape: [288,288,3,3]>]
__module.model.8/aten::split_with_sizes/VariadicSplit (VariadicSplit) -> outputs: [<Shape: [1,288,20,20]>, <Shape: [1,288,20,20]>]
Constant_1689 (Constant) -> outputs: [<Shape: [2]>]
474 (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_31/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_31/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_31/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_31/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_31/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_31 (Swish) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.8.cv1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.8.cv1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,576,1,1]>]
__module.model.8.cv1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.8.cv1.conv/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [576,576,1,1]>]
Constant_450780 (Constant) -> outputs: [<Shape: [576,1,1,1]>]
Convert_450779 (Convert) -> outputs: [<Shape: [576,576,1,1]>]
Constant_450778 (Constant) -> outputs: [<Shape: [576,576,1,1]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_30/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,576,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_30/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_30/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_30/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_30/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_30 (Swish) -> outputs: [<Shape: [1,576,20,20]>]
